ID,チャットが行われる日付,予約する日付,エリア,大人人数,子ども人数,合計人数
1,7月12日,8月中旬に1泊,島根県,1,1,2
2,11月27日,1月下旬に4泊,福島県,3,1,4
3,10月27日,12月下旬に3泊,滋賀県,2,0,2
4,3月10日,4月上旬に2泊,宮城県,2,0,2
5,6月11日,7月中旬に2泊,高知県,2,1,3
6,3月17日,5月中旬に2泊,鹿児島県,1,2,3
7,7月20日,8月19日から1泊,高知県,3,1,4
8,3月2日,4月1日から4泊,宮崎県,3,0,3
9,11月20日,2月19日から2泊,四国地方,4,0,4
10,1月30日,3月29日から1泊,東京都,1,0,1
11,9月14日,11月13日から4泊,三重県,1,2,3
12,9月3日,11月2日から1泊,熊本県,4,0,4
13,10月9日,12月8日から1泊,徳島県,2,0,2
14,10月24日,1月23日から4泊,九州地方,4,0,4
15,7月11日,8月10日から1泊,神奈川県,1,3,4
16,8月4日,9月3日から2泊,四国地方,1,0,1
17,10月18日,11月17日から2泊,兵庫県,3,1,4
18,9月19日,10月18日から4泊,九州地方,2,2,4
19,3月9日,5月8日から4泊,長野県,4,0,4
20,4月18日,7月17日から1泊,岡山県,4,0,4
21,11月27日,12月26日から4泊,秋田県,2,1,3
22,12月2日,1月1日から3泊,奈良県,1,3,4
23,11月28日,2月27日から3泊,岐阜県,3,0,3
24,3月27日,5月26日から1泊,神奈川県,2,0,2
25,9月15日,10月14日から1泊,宮崎県,3,0,3
26,4月26日,5月25日から3泊,佐賀県,1,1,2
27,9月12日,11月11日から4泊,山口県,2,0,2
28,11月14日,2月13日から2泊,岡山県,3,0,3
29,7月6日,9月5日から4泊,福井県,1,1,2
30,10月13日,12月12日から2泊,関西地方,1,2,3
31,5月19日,6月18日から1泊,神奈川県,4,0,4
32,10月26日,12月25日から4泊,大分県,1,3,4
33,3月9日,6月8日から2泊,千葉県,3,0,3
34,6月19日,7月18日から1泊,北海道,2,2,4
35,12月21日,3月20日から3泊,山梨県,4,0,4
36,4月2日,6月1日から1泊,京都府,2,2,4
37,9月21日,10月20日から4泊,宮崎県,2,2,4
38,9月14日,12月13日から2泊,四国地方,4,0,4
39,9月2日,11月1日から2泊,三重県,2,1,3
40,12月20日,1月19日から2泊,福井県,4,0,4
41,4月10日,5月9日から1泊,埼玉県,4,0,4
42,1月20日,3月19日から3泊,福井県,3,0,3
43,3月23日,4月22日から2泊,北海道,1,2,3
44,12月11日,2月10日から3泊,沖縄県,2,0,2
45,6月3日,7月2日から4泊,沖縄県,1,2,3
46,5月14日,7月13日から2泊,東北地方,3,1,4
47,9月9日,12月8日から1泊,奈良県,4,0,4
48,5月9日,8月8日から1泊,山形県,3,0,3
49,8月11日,9月10日から2泊,宮城県,3,0,3
50,7月22日,10月21日から4泊,佐賀県,4,0,4
51,7月10日,8月9日から1泊,新潟県,2,2,4
52,4月5日,7月4日から2泊,香川県,4,0,4
53,5月28日,8月27日から3泊,群馬県,3,0,3
54,9月4日,10月上旬に1泊,徳島県,2,2,4
55,11月2日,12月1日から1泊,和歌山県,1,1,2
56,3月28日,5月27日から1泊,岩手県,1,2,3
57,7月27日,9月26日から4泊,神奈川県,4,0,4
58,9月15日,11月14日から2泊,北海道,4,0,4
59,12月26日,2月25日から4泊,鹿児島県,4,0,4
60,11月27日,12月26日から1泊,宮崎県,1,1,2
61,11月15日,2月14日から2泊,佐賀県,4,0,4
62,1月26日,2月25日から4泊,山梨県,1,3,4
63,7月6日,9月上旬に2泊,関西地方,4,0,4
64,1月15日,3月14日から1泊,佐賀県,1,3,4
